Bonnières,Ile de France,49.03875017,1.58130571
Bons-en-Chablais,Rhône-Alpes,46.27000385,6.36641683
Bonson,Rhône-Alpes,45.52245784,4.2162871
Boran-sur-Oise,Picardie,49.16729865,2.36252561
Bordeaux-St-Jean,Aquitaine,44.82582346,-0.55601245
Ravezies,Aquitaine,44.86663767,-0.57740731
Bords,Poitou-Charentes,45.89470152,-0.7988443
Bornel-Belle-Église,Picardie,49.19450424,2.20688201
Bouaye,Pays de la Loire,47.13778421,-1.67982093
Bouchain,Nord Pas de Calais,50.27825986,3.3319703
Boucoiran,Languedoc-Roussillon,43.99235868,4.18764896
Bouffemont-Moisselles,Ile de France,49.04498984,2.32322951
Bougival,Ile de France,48.85401713,2.13205423
Boulainvilliers,Ile de France,48.85715613,2.27484329
Boulevard-Victor,Ile de France,48.84105259,2.27185339
Boulogne-Tintelleries,Nord Pas de Calais,50.72711117,1.60961123
Boulogne-Ville,Nord Pas de Calais,50.71561367,1.61033411
Boulouris-sur-Mer,Provence-Alpes-CA,43.41632814,6.80834064
Bouray,Ile de France,48.5332486,2.29030989
Bourbourg,Nord Pas de Calais,50.95273997,2.195028
Bourg-Bruche,Alsace,48.36032137,7.1371417
Bourg-en-Bresse,Rhône-Alpes,46.2000717,5.21513233
Bourges,Centre,47.09437099,2.39417505
Bourg-Lastic-Messeix,Auvergne,45.62753243,2.5599967
Bourg-Madame,Languedoc-Roussillon,42.43003374,1.9536039
Bourgneuf-en-Retz,Pays de la Loire,47.04687171,-1.95493797
Bourgoin-Jallieu,Rhône-Alpes,45.58372839,5.27401221
Bourg-St-Maurice,Rhône-Alpes,45.61952552,6.77146104
Bourgtheroulde-Thuit-Hébert,Haute-Normandie,49.3175025,0.83966717
Bournezeau,Pays de la Loire,46.65148452,-1.17846264
Bourron-Marlotte-Grez,Ile de France,48.33267292,2.69345955
Bourth,Haute-Normandie,48.76542715,0.80594012
Boussay-La Bruffière,Pays de la Loire,47.0506114,-1.18350638
Boussens,Midi-Pyrénées,43.17964479,0.9721865
Boussy-St-Antoine,Ile de France,48.68098018,2.53300897
Bouthéon,Rhône-Alpes,45.52434231,4.27714173
Boutigny,Ile de France,48.43490547,2.3765515
Bouvines,Nord Pas de Calais,50.57313105,3.20232135
Bouy,Champagne-Ardenne,49.09080707,4.35359856
Bouzonville,Lorraine,49.2892379,6.53253111
Boves,Picardie,49.84727377,2.39829354
Bram,Languedoc-Roussillon,43.24383406,2.11982488
Brandérion,Bretagne,47.78232257,-3.19509046
Brassac-les-Mines-Ste-Florine,Auvergne,45.4144817,3.33122365
Brax-Léguevin,Midi-Pyrénées,43.61510066,1.23607194
Brazey-en-Plaine,Bourgogne,47.13176429,5.21183446
Bréauté-Beuzeville,Haute-Normandie,49.60356772,0.41684198
Brebières-Sud,Nord Pas de Calais,50.3363074,3.01355314
Breil-sur-Roya,Provence-Alpes-CA,43.9443236,7.51649221
Breitenbach (Haut-Rhin),Alsace,48.02883074,7.10426862
Brélidy-Plouëc,Bretagne,48.66906739,-3.19619831
Bressuire,Poitou-Charentes,46.83717398,-0.49647671
Brest,Bretagne,48.38808306,-4.47891795
Breteil,Bretagne,48.14037494,-1.89763934
Bretenoux-Biars,Midi-Pyrénées,44.92756005,1.84420321
Breteuil-Embranchement,Picardie,49.62665221,2.38410817
Brétigny,Ile de France,48.6062413,2.30192567
Brétigny-Norges,Bourgogne,47.38963035,5.10976037
Bretoncelles,Basse-Normandie,48.43292685,0.8931732
Bretteville-Norrey,Basse-Normandie,49.20317,-0.51210723
Breuillet-Bruyères-le-Châtel,Ile de France,48.5777952,2.1928276
Breuillet-Village,Ile de France,48.56480883,2.17132053
